metriculation,Degree,Year,Class1,C1G1,C1G2,C1G3,C1EQ1,C1EQ2,C1EQ3,Class2,C2G1,C2G2,C2G3,C2EQ1,C2EQ2,C2EQ3
1941508,ES,2,COMPSCI1111,46,94,34,64,65,27,COMPSCI7777,14,100,42,89,5,61
5633575,ES,2,COMPSCI2222,71,72,38,28,30,59,COMPSCI5555,68,84,55,2,97,54
4317749,CS,4,COMPSCI3333,31,88,82,48,60,15,COMPSCI7777,55,80,79,54,6,61
8577725,ES,2,COMPSCI4444,46,54,40,13,67,30,COMPSCI7777,8,17,99,19,78,8
7377892,SE,1,COMPSCI2222,17,76,57,65,76,70,COMPSCI7777,12,70,13,89,24,25
3843175,CS,3,COMPSCI4444,41,76,12,29,1,64,COMPSCI7777,76,11,71,40,11,66
1920659,SE,2,COMPSCI4444,49,46,76,83,23,57,COMPSCI5555,74,93,38,51,59,32
8395102,ES,3,COMPSCI4444,13,36,75,79,52,98,COMPSCI7777,89,24,71,37,34,87
8660702,SE,2,COMPSCI3333,14,14,79,68,25,94,COMPSCI8888,58,95,41,12,70,11
2602911,ES,4,COMPSCI4444,79,59,1,70,55,68,COMPSCI8888,82,56,49,90,20,17
4855912,CS,4,COMPSCI4444,80,24,34,15,43,17,COMPSCI8888,23,83,60,41,66,3
4767034,SE,2,COMPSCI4444,87,32,15,70,69,5,COMPSCI7777,89,56,68,12,14,12
6660507,IN,4,COMPSCI1111,99,79,13,41,19,32,COMPSCI7777,36,71,34,70,38,52
7036595,ES,1,COMPSCI1111,91,82,80,71,50,77,COMPSCI5555,74,61,5,78,41,33
6359457,ES,1,COMPSCI4444,39,43,1,84,51,87,COMPSCI6666,47,71,74,1,100,71
9068914,IN,1,COMPSCI3333,28,14,81,82,82,68,COMPSCI7777,40,45,98,96,33,34
9042779,ES,4,COMPSCI4444,18,45,36,97,49,18,COMPSCI7777,96,88,39,99,56,18
7101324,ES,4,COMPSCI3333,15,33,67,66,54,30,COMPSCI8888,28,96,82,25,71,28
4040809,ES,4,COMPSCI4444,9,33,93,41,75,26,COMPSCI7777,49,10,98,25,31,70
1994842,ES,4,COMPSCI4444,24,52,79,23,43,31,COMPSCI7777,81,77,87,13,81,86
5243667,CH,3,COMPSCI3333,68,12,82,81,39,31,COMPSCI8888,83,40,57,45,64,42
1639818,CS,3,COMPSCI4444,96,37,13,57,100,100,COMPSCI7777,44,66,36,55,85,83
8842968,CH,3,COMPSCI4444,37,6,31,17,48,38,COMPSCI5555,24,32,6,26,71,87
9870193,IN,4,COMPSCI4444,100,7,25,80,75,75,COMPSCI5555,2,77,48,7,21,40
8714242,CH,4,COMPSCI3333,89,55,20,72,70,16,COMPSCI7777,9,34,49,13,54,12
8097614,ES,3,COMPSCI4444,90,17,78,96,45,90,COMPSCI8888,84,46,27,21,91,74
2783610,ES,4,COMPSCI4444,24,58,11,25,38,71,COMPSCI6666,71,71,9,23,100,9
1695082,IN,2,COMPSCI4444,95,81,94,71,27,27,COMPSCI8888,20,6,41,33,90,40
2289464,SE,4,COMPSCI4444,76,25,35,21,53,62,COMPSCI8888,15,56,84,32,80,63
7792858,CS,2,COMPSCI4444,35,37,5,25,1,82,COMPSCI8888,98,45,82,42,70,47
5935448,ES,3,COMPSCI3333,12,42,65,30,81,73,COMPSCI8888,12,37,50,43,88,80
1483273,ES,1,COMPSCI4444,90,26,47,98,71,54,COMPSCI5555,22,65,55,70,11,79
4527178,ES,4,COMPSCI4444,19,65,43,59,43,23,COMPSCI8888,87,30,96,59,2,44
6348390,IN,1,COMPSCI1111,69,62,89,70,48,65,COMPSCI8888,20,10,15,8,63,31
6976989,ES,1,COMPSCI4444,99,14,66,28,10,98,COMPSCI7777,93,47,50,36,66,75
7305567,ES,4,COMPSCI4444,82,75,63,31,48,77,COMPSCI8888,49,33,57,32,24,92
3923317,IN,2,COMPSCI4444,52,10,27,61,87,63,COMPSCI7777,45,71,14,36,65,92
8995806,ES,3,COMPSCI4444,71,94,83,21,80,17,COMPSCI7777,2,33,86,75,82,37
9985888,ES,1,COMPSCI3333,38,30,74,62,19,100,COMPSCI8888,13,69,67,53,85,46
3200351,IN,1,COMPSCI1111,65,82,35,45,9,63,COMPSCI7777,59,16,98,59,22,68
7603177,CH,3,COMPSCI4444,60,2,55,54,74,25,COMPSCI7777,90,71,51,94,36,29
1320574,ES,3,COMPSCI4444,100,1,67,19,100,19,COMPSCI5555,85,89,73,24,54,44
7515571,ES,1,COMPSCI4444,18,25,38,50,77,31,COMPSCI7777,28,69,2,47,5,95
6809781,SE,1,COMPSCI1111,67,25,40,68,50,93,COMPSCI8888,36,99,27,4,28,39
9534985,ES,3,COMPSCI4444,42,25,37,79,40,98,COMPSCI8888,49,70,73,15,8,30
3944496,SE,3,COMPSCI4444,93,4,82,46,63,2,COMPSCI7777,77,33,29,51,4,45
5863678,SE,3,COMPSCI3333,60,79,98,62,53,39,COMPSCI6666,10,86,21,83,71,62
5914458,ES,3,COMPSCI3333,80,61,87,97,4,37,COMPSCI8888,40,71,12,98,57,61
2157159,CH,1,COMPSCI4444,8,83,92,7,79,28,COMPSCI5555,44,24,94,78,69,72
2830785,ES,1,COMPSCI3333,13,27,20,73,77,75,COMPSCI8888,83,12,32,34,89,81
2286601,ES,1,COMPSCI4444,85,36,64,61,55,90,COMPSCI6666,87,10,50,69,94,98
9529886,IN,4,COMPSCI4444,19,59,36,88,49,46,COMPSCI8888,20,29,3,92,50,41
2201065,IN,1,COMPSCI4444,82,19,49,12,33,8,COMPSCI6666,18,98,8,89,47,46
5770916,ES,1,COMPSCI3333,44,78,87,48,56,53,COMPSCI8888,33,34,51,20,95,45
2440653,CH,1,COMPSCI4444,44,78,46,38,39,49,COMPSCI6666,98,81,48,1,2,14
7989610,ES,4,COMPSCI4444,40,50,50,20,17,34,COMPSCI5555,100,2,81,53,30,49
4386900,IN,4,COMPSCI4444,27,15,30,70,83,25,COMPSCI8888,26,34,26,99,60,66
6718009,IN,2,COMPSCI4444,76,60,14,71,95,23,COMPSCI6666,10,25,59,68,45,27
1296631,ES,2,COMPSCI4444,1,74,38,32,6,48,COMPSCI7777,68,35,72,75,60,64
8440347,ES,4,COMPSCI4444,70,88,96,33,36,83,COMPSCI8888,3,30,65,63,84,53
3644511,CH,3,COMPSCI4444,34,11,84,53,15,20,COMPSCI8888,78,15,65,83,90,98
6559262,IN,4,COMPSCI2222,75,50,25,97,75,26,COMPSCI7777,73,47,23,81,61,38
3635684,IN,3,COMPSCI4444,23,18,51,27,96,74,COMPSCI8888,86,60,37,56,5,16
3732508,CH,2,COMPSCI1111,45,89,70,99,15,82,COMPSCI8888,1,2,28,92,41,24
5979391,CH,1,COMPSCI4444,56,8,85,94,32,81,COMPSCI8888,3,19,68,58,74,78
2208320,IN,1,COMPSCI1111,99,52,30,4,45,69,COMPSCI5555,13,23,94,45,12,98
3671472,ES,4,COMPSCI3333,73,39,50,27,39,25,COMPSCI5555,95,74,61,75,66,30
6216097,CS,3,COMPSCI4444,75,74,52,73,99,67,COMPSCI7777,69,51,79,85,46,34
7862317,IN,2,COMPSCI4444,59,25,40,93,23,49,COMPSCI8888,65,48,42,81,87,95
9970814,CH,1,COMPSCI3333,20,49,59,28,94,27,COMPSCI8888,91,56,46,46,43,30
6350426,ES,2,COMPSCI1111,81,34,6,69,84,73,COMPSCI7777,21,6,14,99,93,11
4163758,CS,2,COMPSCI4444,6,30,9,9,2,22,COMPSCI8888,96,49,50,38,20,87
3284415,CH,4,COMPSCI3333,78,42,69,80,93,1,COMPSCI5555,69,94,99,76,24,10
6451791,ES,4,COMPSCI4444,6,100,24,73,42,38,COMPSCI8888,55,55,3,37,15,97
5024164,CS,4,COMPSCI3333,36,71,36,51,60,96,COMPSCI7777,61,48,7,75,27,84
6146688,ES,1,COMPSCI4444,91,38,17,5,54,97,COMPSCI8888,31,10,70,98,26,49
3442829,IN,1,COMPSCI4444,2,98,6,14,42,45,COMPSCI8888,34,29,81,53,74,71
5148186,ES,1,COMPSCI1111,62,41,46,73,99,38,COMPSCI8888,49,4,99,57,13,70
8147040,ES,3,COMPSCI3333,16,84,65,37,67,58,COMPSCI8888,19,93,64,71,12,55
1389071,ES,3,COMPSCI2222,21,10,94,15,33,28,COMPSCI8888,19,94,84,40,8,81
5624231,ES,3,COMPSCI4444,15,20,8,72,76,82,COMPSCI7777,75,98,75,46,15,27
5665322,SE,4,COMPSCI2222,100,41,11,62,77,60,COMPSCI6666,37,40,42,84,81,84
3703910,IN,1,COMPSCI3333,50,67,42,43,34,61,COMPSCI8888,43,34,90,82,73,74
9346098,ES,1,COMPSCI3333,67,57,34,69,93,97,COMPSCI8888,60,72,24,29,50,28
5817889,ES,4,COMPSCI1111,67,54,100,40,74,83,COMPSCI8888,99,95,84,10,47,76
2424307,ES,1,COMPSCI1111,98,2,83,39,77,25,COMPSCI5555,49,3,84,2,56,93
3561815,IN,1,COMPSCI4444,3,70,31,54,58,67,COMPSCI8888,11,100,100,59,62,35
1578810,ES,1,COMPSCI1111,16,38,24,26,17,88,COMPSCI7777,27,90,47,33,1,85
2525479,ES,3,COMPSCI3333,83,10,85,17,26,89,COMPSCI8888,14,1,50,99,33,77
5623268,ES,1,COMPSCI4444,31,99,47,94,55,11,COMPSCI8888,12,91,58,21,67,22
2668554,CH,3,COMPSCI4444,46,80,36,18,47,52,COMPSCI8888,64,34,65,80,43,40
9318444,ES,3,COMPSCI4444,99,38,57,60,71,100,COMPSCI7777,61,13,63,50,41,60
5292594,ES,3,COMPSCI1111,21,98,53,54,44,13,COMPSCI5555,9,11,87,61,84,12
4718927,SE,3,COMPSCI1111,65,93,86,43,13,58,COMPSCI8888,40,35,65,20,99,7
4299035,ES,3,COMPSCI2222,33,22,27,10,40,45,COMPSCI8888,23,55,95,69,81,42
7295311,CH,1,COMPSCI4444,25,7,45,60,74,4,COMPSCI7777,27,82,20,62,70,85
7580948,IN,2,COMPSCI1111,92,84,86,90,3,91,COMPSCI8888,67,32,71,79,32,49
8256107,IN,1,COMPSCI4444,1,30,51,12,32,46,COMPSCI8888,7,55,63,31,99,48
1160481,ES,2,COMPSCI4444,52,60,10,98,56,83,COMPSCI8888,21,67,70,10,29,76
3842954,ES,1,COMPSCI1111,18,15,9,21,47,88,COMPSCI7777,37,42,30,42,79,17
3640997,ES,1,COMPSCI4444,27,80,74,11,8,28,COMPSCI8888,58,2,78,56,97,59
8323343,ES,4,COMPSCI3333,95,36,62,97,38,97,COMPSCI8888,86,55,33,43,60,59
1308824,CH,2,COMPSCI3333,36,79,6,52,73,84,COMPSCI5555,44,62,2,66,52,58
7278555,CS,3,COMPSCI3333,50,94,57,72,78,26,COMPSCI8888,99,88,40,92,92,34
6393612,ES,4,COMPSCI2222,14,12,100,14,17,14,COMPSCI8888,70,36,77,100,87,18
1470138,ES,2,COMPSCI4444,39,59,93,43,97,6,COMPSCI8888,76,22,37,89,19,31
7052649,IN,3,COMPSCI4444,18,3,49,98,77,60,COMPSCI7777,48,27,38,16,13,100
5546618,CS,1,COMPSCI3333,7,74,38,63,39,4,COMPSCI8888,65,77,53,6,32,76
4775134,SE,1,COMPSCI2222,29,41,98,42,17,96,COMPSCI8888,7,15,9,22,30,31
6916027,ES,2,COMPSCI4444,74,74,60,51,2,2,COMPSCI8888,76,65,16,35,89,75
1954862,CH,4,COMPSCI4444,35,19,51,99,13,48,COMPSCI8888,15,39,39,46,48,61
1505698,ES,1,COMPSCI4444,70,60,30,96,2,79,COMPSCI5555,25,15,34,38,10,19
4904133,CH,3,COMPSCI3333,59,16,99,48,62,30,COMPSCI8888,20,36,72,56,61,57
2010850,ES,1,COMPSCI4444,85,97,65,41,44,67,COMPSCI8888,70,48,18,34,35,63
2561808,ES,1,COMPSCI4444,54,67,71,80,68,33,COMPSCI7777,33,5,83,78,61,5
1572055,IN,4,COMPSCI1111,47,57,98,96,84,1,COMPSCI5555,47,47,94,8,61,18
9403146,ES,1,COMPSCI4444,33,2,99,64,43,84,COMPSCI5555,77,30,60,67,78,80
8944484,ES,1,COMPSCI4444,4,88,31,60,79,68,COMPSCI6666,1,86,45,41,70,71
2456208,ES,1,COMPSCI3333,67,37,74,86,6,15,COMPSCI5555,58,23,16,53,49,53
1811603,IN,2,COMPSCI2222,46,48,14,52,79,23,COMPSCI6666,81,27,8,77,89,68
2937978,ES,4,COMPSCI3333,69,91,6,52,73,39,COMPSCI7777,39,27,32,32,76,63
3222862,ES,3,COMPSCI4444,11,78,21,41,83,79,COMPSCI6666,2,59,59,33,58,18
9738430,CH,3,COMPSCI4444,74,67,50,33,27,14,COMPSCI7777,96,70,65,71,26,85
7919223,ES,2,COMPSCI4444,45,54,16,95,64,44,COMPSCI8888,20,30,71,88,80,77
8971014,CS,3,COMPSCI3333,28,43,52,98,59,60,COMPSCI7777,60,12,77,71,51,90
2478022,ES,2,COMPSCI4444,12,99,54,47,73,15,COMPSCI7777,79,60,22,96,36,60
4120259,CH,4,COMPSCI4444,7,34,84,91,98,58,COMPSCI7777,15,14,31,13,64,25
1192347,IN,1,COMPSCI4444,15,97,91,68,43,83,COMPSCI8888,87,50,96,16,77,100
3916754,IN,4,COMPSCI4444,40,20,72,79,1,65,COMPSCI6666,74,10,28,79,94,25
7720595,ES,3,COMPSCI2222,55,46,69,27,86,89,COMPSCI7777,27,22,82,18,49,43
3266824,ES,1,COMPSCI3333,63,67,12,40,33,78,COMPSCI6666,97,34,65,89,69,62
3657040,ES,1,COMPSCI4444,15,28,48,54,93,53,COMPSCI8888,35,48,24,84,53,90
8950328,ES,4,COMPSCI4444,64,77,16,63,82,2,COMPSCI8888,40,76,61,78,34,69
1424872,IN,4,COMPSCI4444,49,51,76,89,16,5,COMPSCI8888,32,33,60,51,61,31
4584001,IN,1,COMPSCI2222,66,2,90,61,35,17,COMPSCI5555,53,48,81,53,81,43
6052964,CH,2,COMPSCI2222,93,44,74,12,31,7,COMPSCI8888,10,64,96,1,68,61
5717459,ES,1,COMPSCI1111,54,99,80,64,79,64,COMPSCI7777,30,83,13,37,8,9
8167257,ES,3,COMPSCI3333,76,26,29,9,62,20,COMPSCI8888,39,4,86,24,47,11
3290634,ES,2,COMPSCI3333,28,51,55,45,63,53,COMPSCI7777,76,1,39,16,50,83
7140470,ES,4,COMPSCI4444,80,45,83,68,63,11,COMPSCI7777,97,49,27,58,98,66
6513667,SE,2,COMPSCI2222,91,10,27,74,89,54,COMPSCI7777,74,40,90,45,82,3
4474149,IN,4,COMPSCI3333,33,83,21,50,68,73,COMPSCI8888,96,37,67,10,11,22
1073200,ES,1,COMPSCI4444,33,14,28,60,88,94,COMPSCI8888,96,30,27,74,82,62
6430591,ES,2,COMPSCI4444,78,14,72,76,48,18,COMPSCI8888,90,85,17,28,63,87
9721782,CH,1,COMPSCI3333,89,100,80,84,66,87,COMPSCI8888,51,5,63,87,29,28
3024122,CS,2,COMPSCI2222,27,25,6,82,11,66,COMPSCI8888,89,2,43,79,17,79
2221960,ES,4,COMPSCI4444,40,2,34,75,19,7,COMPSCI7777,42,57,26,92,3,8
7674050,SE,2,COMPSCI1111,80,8,79,5,53,4,COMPSCI8888,59,5,89,98,76,66
6607154,IN,3,COMPSCI1111,12,93,22,54,11,47,COMPSCI6666,40,43,27,52,99,12
9834243,IN,4,COMPSCI3333,17,47,99,52,72,34,COMPSCI5555,57,91,16,5,67,50
4615248,CH,2,COMPSCI4444,80,64,37,59,46,38,COMPSCI8888,95,51,82,35,59,63
5657320,IN,4,COMPSCI1111,7,41,44,23,55,12,COMPSCI6666,24,52,47,86,81,43
2804046,ES,2,COMPSCI4444,33,95,77,15,19,33,COMPSCI8888,9,56,50,41,54,55
7944917,ES,1,COMPSCI4444,72,45,21,11,26,46,COMPSCI7777,51,49,55,76,61,30
1471121,IN,1,COMPSCI1111,99,60,53,64,59,74,COMPSCI8888,32,30,15,37,38,66
9802767,IN,2,COMPSCI2222,23,4,97,28,31,63,COMPSCI8888,2,64,28,20,65,26
6586371,ES,4,COMPSCI3333,98,69,88,29,50,53,COMPSCI7777,39,25,25,98,30,42
5503957,ES,4,COMPSCI3333,87,23,55,96,17,81,COMPSCI8888,44,41,43,86,82,6
4327181,ES,2,COMPSCI1111,85,6,100,49,99,87,COMPSCI7777,10,6,88,62,19,57
3545976,CS,2,COMPSCI4444,18,90,21,72,23,87,COMPSCI8888,11,41,97,65,9,56
3995800,ES,1,COMPSCI4444,56,90,54,5,39,91,COMPSCI8888,3,33,23,4,30,60
8508666,ES,3,COMPSCI3333,16,29,9,67,84,74,COMPSCI7777,44,17,76,55,93,42
3206378,CS,3,COMPSCI3333,59,72,96,74,16,17,COMPSCI7777,9,40,44,60,23,75
4895756,ES,3,COMPSCI4444,9,44,38,71,60,21,COMPSCI7777,25,80,98,57,83,49
7823524,CS,2,COMPSCI2222,93,10,58,55,66,2,COMPSCI8888,78,96,15,91,40,74
2494433,ES,3,COMPSCI1111,35,76,35,15,7,94,COMPSCI6666,84,39,63,42,58,1
3090223,ES,2,COMPSCI2222,27,48,89,92,43,27,COMPSCI8888,84,4,1,79,85,22
2266854,IN,1,COMPSCI4444,53,19,80,89,29,74,COMPSCI7777,97,84,56,25,18,46
2133985,ES,3,COMPSCI4444,64,44,22,12,63,61,COMPSCI7777,64,78,55,8,91,50
2035396,IN,2,COMPSCI4444,3,68,63,71,82,14,COMPSCI8888,63,58,21,48,19,32
7497270,IN,1,COMPSCI4444,90,67,10,77,44,34,COMPSCI8888,56,6,2,92,5,5
1581329,IN,1,COMPSCI1111,76,98,68,100,98,3,COMPSCI8888,43,42,77,76,12,92
2562519,IN,1,COMPSCI3333,14,70,24,55,74,86,COMPSCI6666,8,90,69,66,11,65
5928960,IN,2,COMPSCI4444,61,38,9,63,15,96,COMPSCI7777,32,81,78,9,3,45
1765379,IN,4,COMPSCI4444,54,2,8,92,53,12,COMPSCI8888,49,2,11,46,29,97
5996229,SE,4,COMPSCI1111,91,80,37,62,2,21,COMPSCI8888,99,89,27,56,2,26
2469975,IN,1,COMPSCI3333,20,47,92,77,97,80,COMPSCI5555,47,31,31,23,49,69
2765688,ES,3,COMPSCI4444,45,23,45,74,73,67,COMPSCI8888,72,57,7,80,72,77
9078201,ES,2,COMPSCI1111,40,63,2,19,28,77,COMPSCI7777,87,88,57,44,73,61
1942051,CH,3,COMPSCI1111,58,22,57,90,73,78,COMPSCI8888,86,16,74,93,69,26
1952283,ES,4,COMPSCI1111,68,65,45,95,24,66,COMPSCI8888,45,71,6,19,36,7
8761828,IN,3,COMPSCI3333,74,32,27,87,93,42,COMPSCI8888,58,48,50,12,60,84
8778748,ES,1,COMPSCI1111,18,94,10,43,54,12,COMPSCI7777,64,20,26,79,50,73
1569895,IN,1,COMPSCI4444,37,22,21,19,89,76,COMPSCI8888,68,28,85,60,22,37
9027865,ES,2,COMPSCI2222,32,94,100,52,44,1,COMPSCI8888,78,69,44,88,76,22
7508049,CS,2,COMPSCI4444,68,10,18,74,95,13,COMPSCI8888,24,35,8,85,85,8
4648622,ES,1,COMPSCI4444,52,2,14,32,89,1,COMPSCI8888,95,9,30,43,65,52
1127719,ES,4,COMPSCI2222,81,84,56,15,61,40,COMPSCI8888,94,97,79,84,65,32
4403996,ES,4,COMPSCI3333,82,89,47,54,64,90,COMPSCI7777,72,72,59,21,86,50
8495461,CH,2,COMPSCI4444,2,75,68,46,75,6,COMPSCI8888,22,40,70,14,70,29
7580723,IN,2,COMPSCI4444,91,34,27,35,64,81,COMPSCI8888,7,68,98,90,50,4
1718646,IN,3,COMPSCI4444,95,60,2,12,17,36,COMPSCI7777,54,44,74,43,29,88
9128138,ES,4,COMPSCI3333,59,33,8,57,12,45,COMPSCI8888,30,32,56,98,16,13
3411869,ES,4,COMPSCI4444,41,32,55,59,97,52,COMPSCI5555,1,15,12,6,56,81
7680204,ES,2,COMPSCI4444,6,56,16,51,26,28,COMPSCI8888,91,20,50,64,33,69
3191527,IN,2,COMPSCI3333,34,46,45,53,25,28,COMPSCI8888,53,65,38,68,10,8
8660289,ES,3,COMPSCI2222,48,17,20,36,13,74,COMPSCI8888,71,24,85,76,91,85
9895119,ES,2,COMPSCI3333,52,52,88,33,40,75,COMPSCI7777,45,1,64,74,58,61
7119964,ES,4,COMPSCI1111,51,51,62,17,66,24,COMPSCI8888,98,56,96,92,58,73
6417404,CS,1,COMPSCI3333,37,62,79,29,90,74,COMPSCI7777,59,43,60,96,26,82
6882449,ES,4,COMPSCI4444,37,5,3,51,14,98,COMPSCI7777,19,43,53,16,45,79
5398823,CH,2,COMPSCI2222,20,51,61,70,32,49,COMPSCI8888,81,27,93,66,75,97
6326984,ES,2,COMPSCI4444,93,36,59,24,51,19,COMPSCI8888,67,46,95,10,93,59
4886958,SE,1,COMPSCI4444,22,57,75,50,99,16,COMPSCI8888,46,87,11,17,78,79
2510739,ES,1,COMPSCI4444,3,61,48,84,9,43,COMPSCI8888,44,15,76,49,14,4
8789327,IN,4,COMPSCI1111,35,32,45,35,24,91,COMPSCI7777,54,100,63,68,43,17
7848187,ES,3,COMPSCI4444,42,77,42,31,6,4,COMPSCI8888,72,79,27,39,14,56
3150507,SE,2,COMPSCI4444,32,98,82,8,12,30,COMPSCI8888,54,79,23,40,35,3
4344748,IN,1,COMPSCI4444,44,99,66,34,92,75,COMPSCI8888,23,32,88,57,59,43
1285648,ES,3,COMPSCI4444,13,12,14,19,2,85,COMPSCI8888,21,37,98,80,67,97
6516181,SE,3,COMPSCI3333,50,55,57,90,42,25,COMPSCI8888,42,90,68,39,30,84
7446905,CS,4,COMPSCI4444,63,27,1,25,95,22,COMPSCI8888,47,17,17,53,12,42
6205717,ES,4,COMPSCI4444,61,2,46,17,27,37,COMPSCI8888,40,33,60,53,42,58
7584027,IN,4,COMPSCI4444,38,11,21,59,73,16,COMPSCI7777,97,96,20,37,69,87
1750618,SE,3,COMPSCI4444,22,4,46,46,37,93,COMPSCI8888,23,84,51,61,92,50
8385576,ES,4,COMPSCI1111,61,81,47,71,58,25,COMPSCI8888,11,14,12,98,3,12
1271448,ES,3,COMPSCI3333,80,76,86,86,20,30,COMPSCI8888,61,43,91,14,17,37
1535258,ES,1,COMPSCI4444,90,99,18,14,65,75,COMPSCI8888,99,86,12,38,2,23
6664060,IN,3,COMPSCI4444,86,44,24,57,43,90,COMPSCI8888,60,92,92,14,27,53
5651208,IN,2,COMPSCI3333,13,1,64,43,39,26,COMPSCI7777,84,55,93,76,13,14
3235785,IN,2,COMPSCI1111,37,62,13,2,25,73,COMPSCI8888,76,19,39,66,95,86
3200096,CH,3,COMPSCI2222,40,37,15,84,85,8,COMPSCI8888,29,52,96,50,47,93
5356918,IN,4,COMPSCI2222,80,89,62,87,36,60,COMPSCI8888,54,7,15,80,93,90
8678845,CH,1,COMPSCI4444,18,66,91,31,23,69,COMPSCI7777,73,34,21,78,68,59
8128300,IN,2,COMPSCI3333,74,25,73,71,60,87,COMPSCI7777,36,11,98,43,1,69
3327580,CS,2,COMPSCI1111,91,38,3,88,97,52,COMPSCI8888,6,32,99,50,22,69
4517052,ES,4,COMPSCI3333,7,22,32,46,36,50,COMPSCI7777,39,49,67,36,59,89
2808717,ES,3,COMPSCI4444,33,7,17,97,58,32,COMPSCI7777,81,30,43,67,54,94
7452367,SE,1,COMPSCI4444,94,18,15,89,67,42,COMPSCI7777,29,33,8,25,2,6
9043676,ES,4,COMPSCI2222,88,19,42,59,88,73,COMPSCI8888,1,14,49,29,81,54
6878639,ES,1,COMPSCI1111,35,92,66,62,22,86,COMPSCI6666,77,24,59,8,68,77
9494284,ES,2,COMPSCI1111,64,22,32,83,93,53,COMPSCI8888,63,93,87,56,66,80
7706603,SE,4,COMPSCI2222,81,40,44,9,58,95,COMPSCI7777,41,38,6,41,72,42
4388289,CH,1,COMPSCI3333,11,76,40,54,63,87,COMPSCI8888,52,100,91,95,65,48
5458070,IN,1,COMPSCI3333,15,24,36,1,19,36,COMPSCI7777,91,99,4,69,82,30
7796659,ES,2,COMPSCI2222,13,27,43,6,13,1,COMPSCI7777,57,47,60,91,71,48
8175640,ES,1,COMPSCI4444,25,87,9,7,33,28,COMPSCI7777,90,19,34,93,3,69
4883843,IN,2,COMPSCI3333,33,50,12,78,2,59,COMPSCI5555,89,39,51,62,63,57
6695391,CS,3,COMPSCI2222,12,82,83,9,13,45,COMPSCI8888,16,78,34,53,48,93
1556294,ES,3,COMPSCI4444,76,30,14,20,38,93,COMPSCI8888,20,12,31,98,46,11
2146878,ES,2,COMPSCI3333,79,13,41,39,44,49,COMPSCI7777,38,74,16,26,30,86
9620042,ES,4,COMPSCI4444,39,67,42,50,29,11,COMPSCI6666,25,24,83,19,55,67
8988068,ES,1,COMPSCI1111,22,51,38,3,90,23,COMPSCI7777,81,13,61,79,100,47
8628922,IN,1,COMPSCI4444,45,5,31,56,78,24,COMPSCI8888,77,46,99,54,65,59
5030388,IN,2,COMPSCI4444,21,8,39,36,10,22,COMPSCI8888,54,37,53,64,39,27
7618691,IN,4,COMPSCI4444,97,88,39,17,17,73,COMPSCI8888,88,87,88,88,69,65
8496394,CH,2,COMPSCI3333,100,6,74,71,47,44,COMPSCI6666,79,65,36,6,2,4
4657661,SE,2,COMPSCI3333,63,91,94,41,12,26,COMPSCI5555,36,14,20,76,64,89
7123221,ES,2,COMPSCI4444,57,27,64,88,57,6,COMPSCI8888,17,4,2,25,93,51
8212365,CS,2,COMPSCI4444,61,78,35,40,39,57,COMPSCI6666,41,77,35,10,94,34
5308524,CS,4,COMPSCI4444,39,61,24,51,4,90,COMPSCI7777,44,54,24,95,64,82
4505065,IN,2,COMPSCI3333,99,60,80,22,26,52,COMPSCI5555,66,3,5,12,47,92
4422408,ES,1,COMPSCI4444,51,38,94,29,30,21,COMPSCI8888,67,77,37,21,74,97
2561438,IN,3,COMPSCI4444,63,5,8,62,78,60,COMPSCI8888,76,76,3,71,86,82
6144971,ES,2,COMPSCI3333,50,83,39,19,6,19,COMPSCI8888,94,84,87,66,39,33
9804536,CH,2,COMPSCI3333,92,65,79,28,36,57,COMPSCI8888,21,54,89,7,26,99
8018533,IN,1,COMPSCI4444,77,46,39,58,12,92,COMPSCI6666,75,25,82,44,3,27
8143009,ES,1,COMPSCI4444,78,27,39,25,37,94,COMPSCI7777,9,56,32,6,74,54
7862441,ES,1,COMPSCI4444,95,6,75,74,95,31,COMPSCI8888,95,4,38,76,94,42
4633101,IN,3,COMPSCI2222,31,22,94,39,1,41,COMPSCI7777,9,50,70,7,90,53
5358913,SE,2,COMPSCI4444,71,32,95,96,38,97,COMPSCI8888,47,81,63,94,70,98
9840501,ES,4,COMPSCI4444,45,54,37,43,35,85,COMPSCI6666,81,95,72,29,36,69
6080073,IN,2,COMPSCI3333,78,28,9,95,38,46,COMPSCI8888,15,57,86,59,28,62
4937488,CH,2,COMPSCI4444,3,7,12,92,37,60,COMPSCI5555,77,90,46,81,78,19
3888248,CH,1,COMPSCI1111,18,25,6,14,92,96,COMPSCI6666,50,78,49,80,63,32
5874960,ES,4,COMPSCI2222,66,91,80,47,86,76,COMPSCI7777,93,47,6,4,47,16
6721369,ES,4,COMPSCI2222,64,13,67,4,60,1,COMPSCI8888,15,66,82,96,52,81
1869861,CH,2,COMPSCI3333,6,2,31,64,68,80,COMPSCI8888,22,37,1,32,56,50
1800122,SE,2,COMPSCI3333,66,85,76,55,43,58,COMPSCI7777,92,63,60,88,11,60
1908795,ES,3,COMPSCI3333,90,98,30,84,95,13,COMPSCI6666,76,6,72,76,79,17
1272522,ES,2,COMPSCI2222,91,17,88,68,95,5,COMPSCI7777,79,78,54,94,32,28
3177612,IN,1,COMPSCI3333,60,5,2,11,16,41,COMPSCI8888,52,33,6,10,55,1
